Sample	Target.Peptide	Glycoform	Monoisotopic.Mass	Number.of.Charge.States	RT.Range	Sum.Intensity	Rel.Abundance_ann
Outputfile_@IgM_site4	IgM_site4	H5N3@Man5Gn	2636.05907663	1	16.423-20.662	128758.93	0.44553686359131
Outputfile_@IgM_site4	IgM_site4	NA	2647.94587663	2	16.423-20.662	73879.56	NA
Outputfile_@IgM_site4	IgM_site4	NA	2648.11977663	2	16.423-20.662	274968.94	NA
Outputfile_@IgM_site4	IgM_site4	NA	2658.04047663	1	16.423-20.662	6558.74	NA
Outputfile_@IgM_site4	IgM_site4	NA	2670.09497663	1	16.423-20.662	7999.2	NA
Outputfile_@IgM_site4	IgM_site4	NA	2671.09077663	1	16.423-20.662	1416.13	NA
Outputfile_@IgM_site4	IgM_site4	NA	2673.14317663	1	16.423-20.662	26197.85	NA
Outputfile_@IgM_site4	IgM_site4	NA	2680.10537663	1	16.423-20.662	3706.1	NA
Outputfile_@IgM_site4	IgM_site4	NA	2686.06637663	3	16.423-20.662	22626.73	NA
Outputfile_@IgM_site4	IgM_site4	NA	2689.13897663	1	16.423-20.662	10680.61	NA
Outputfile_@IgM_site4	IgM_site4	NA	2692.08257663	1	16.423-20.662	4727.68	NA
Outputfile_@IgM_site4	IgM_site4	NA	2701.03297663	1	16.423-20.662	9668.32	NA
Outputfile_@IgM_site4	IgM_site4	NA	2707.13497663	1	16.423-20.662	15038.36	NA
Outputfile_@IgM_site4	IgM_site4	NA	2711.08897663	1	16.423-20.662	2264.21	NA
Outputfile_@IgM_site4	IgM_site4	H7N2@Man7	2757.08497663	2	16.423-20.662	3512027.57	12.1524600148821
Outputfile_@IgM_site4	IgM_site4	NA	2774.07017663	1	16.423-20.662	5026.82	NA
Outputfile_@IgM_site4	IgM_site4	NA	2774.10877663	1	16.423-20.662	30640.84	NA
Outputfile_@IgM_site4	IgM_site4	NA	2779.05987663	3	16.423-20.662	316709.11	NA
Outputfile_@IgM_site4	IgM_site4	NA	2789.07287663	1	16.423-20.662	25451.76	NA
Outputfile_@IgM_site4	IgM_site4	NA	2795.03157663	3	16.423-20.662	381113.85	NA
Outputfile_@IgM_site4	IgM_site4	NA	2798.09217663	1	16.423-20.662	26739.83	NA
Outputfile_@IgM_site4	IgM_site4	NA	2801.04467663	3	16.423-20.662	97426.3	NA
Outputfile_@IgM_site4	IgM_site4	NA	2809.99467663	3	16.423-20.662	180607.68	NA
Outputfile_@IgM_site4	IgM_site4	NA	2814.00697663	1	16.423-20.662	15235.17	NA
Outputfile_@IgM_site4	IgM_site4	NA	2817.00767663	3	16.423-20.662	10054.74	NA
Outputfile_@IgM_site4	IgM_site4	NA	2820.05447663	1	16.423-20.662	5763.66	NA
Outputfile_@IgM_site4	IgM_site4	NA	2832.97427663	1	16.423-20.662	5855.49	NA
Outputfile_@IgM_site4	IgM_site4	NA	2847.94997663	2	16.423-20.662	7826.77	NA
Outputfile_@IgM_site4	IgM_site4	NA	2860.30067663	1	16.423-20.662	4710.53	NA
Outputfile_@IgM_site4	IgM_site4	NA	2869.18767663	2	16.423-20.662	16063.29	NA
Outputfile_@IgM_site4	IgM_site4	NA	2874.28977663	3	16.423-20.662	46871.15	NA
Outputfile_@IgM_site4	IgM_site4	NA	2877.09347663	1	16.423-20.662	3202.97	NA
Outputfile_@IgM_site4	IgM_site4	NA	2889.25507663	1	16.423-20.662	3893.64	NA
Outputfile_@IgM_site4	IgM_site4	NA	2893.00497663	1	16.423-20.662	2058.81	NA
Outputfile_@IgM_site4	IgM_site4	NA	2903.12637663	1	16.423-20.662	2816.12	NA
Outputfile_@IgM_site4	IgM_site4	H8N2@Man8_	2919.13707663	2	16.423-20.662	5590619.62	19.3448883974637
Outputfile_@IgM_site4	IgM_site4	NA	2935.11697663	1	16.423-20.662	21965.79	NA
Outputfile_@IgM_site4	IgM_site4	NA	2936.16187663	1	16.423-20.662	99239.61	NA
Outputfile_@IgM_site4	IgM_site4	NA	2941.11427663	2	16.423-20.662	558981.28	NA
Outputfile_@IgM_site4	IgM_site4	NA	2949.11407663	1	16.423-20.662	12681.37	NA
Outputfile_@IgM_site4	IgM_site4	NA	2951.12377663	2	16.423-20.662	90092.07	NA
Outputfile_@IgM_site4	IgM_site4	NA	2957.08117663	3	16.423-20.662	588820.21	NA
Outputfile_@IgM_site4	IgM_site4	NA	2963.09387663	2	16.423-20.662	182339.86	NA
Outputfile_@IgM_site4	IgM_site4	NA	2969.13017663	1	16.423-20.662	12993.63	NA
Outputfile_@IgM_site4	IgM_site4	NA	2972.04697663	3	16.423-20.662	308381.65	NA
Outputfile_@IgM_site4	IgM_site4	NA	2975.05827663	1	16.423-20.662	8643.47	NA
Outputfile_@IgM_site4	IgM_site4	NA	2976.05907663	1	16.423-20.662	22682.7	NA
Outputfile_@IgM_site4	IgM_site4	NA	2979.05457663	1	16.423-20.662	10326.53	NA
Outputfile_@IgM_site4	IgM_site4	NA	2979.06597663	1	16.423-20.662	17070.29	NA
Outputfile_@IgM_site4	IgM_site4	NA	2983.08097663	1	16.423-20.662	14859.82	NA
Outputfile_@IgM_site4	IgM_site4	NA	2984.10087663	1	16.423-20.662	17551.22	NA
Outputfile_@IgM_site4	IgM_site4	NA	2995.02467663	3	16.423-20.662	34359.89	NA
Outputfile_@IgM_site4	IgM_site4	NA	3001.04207663	1	16.423-20.662	11689.06	NA
Outputfile_@IgM_site4	IgM_site4	NA	3010.00177663	2	16.423-20.662	25004.07	NA
Outputfile_@IgM_site4	IgM_site4	NA	3017.13107663	1	16.423-20.662	14254.96	NA
Outputfile_@IgM_site4	IgM_site4	NA	3027.12547663	1	16.423-20.662	12046.19	NA
Outputfile_@IgM_site4	IgM_site4	NA	3031.23287663	2	16.423-20.662	16796.31	NA
Outputfile_@IgM_site4	IgM_site4	NA	3039.11567663	1	16.423-20.662	8967.38	NA
Outputfile_@IgM_site4	IgM_site4	NA	3055.07137663	1	16.423-20.662	7632.97	NA
Outputfile_@IgM_site4	IgM_site4	NA	3062.11617663	1	16.423-20.662	6639.13	NA
Outputfile_@IgM_site4	IgM_site4	NA	3063.15877663	1	16.423-20.662	4010.65	NA
Outputfile_@IgM_site4	IgM_site4	NA	3065.18387663	1	16.423-20.662	18021.78	NA
Outputfile_@IgM_site4	IgM_site4	NA	3070.02737663	1	16.423-20.662	5012.66	NA
Outputfile_@IgM_site4	IgM_site4	H9N2@Man9	3081.18887663	2	16.423-20.662	11240338.79	38.8942754510335
Outputfile_@IgM_site4	IgM_site4	NA	3081.69187663	1	16.423-20.662	274065.97	NA
Outputfile_@IgM_site4	IgM_site4	NA	3096.16557663	1	16.423-20.662	54355.77	NA
Outputfile_@IgM_site4	IgM_site4	NA	3098.21337663	1	16.423-20.662	222262.91	NA
Outputfile_@IgM_site4	IgM_site4	NA	3100.17857663	1	16.423-20.662	9957.36	NA
Outputfile_@IgM_site4	IgM_site4	NA	3103.16397663	3	16.423-20.662	1174881.47	NA
Outputfile_@IgM_site4	IgM_site4	NA	3103.66767663	1	16.423-20.662	14073.17	NA
Outputfile_@IgM_site4	IgM_site4	NA	3112.17987663	1	16.423-20.662	23004.32	NA
Outputfile_@IgM_site4	IgM_site4	NA	3113.17567663	1	16.423-20.662	178674.2	NA
Outputfile_@IgM_site4	IgM_site4	NA	3119.13497663	3	16.423-20.662	1024202.82	NA
Outputfile_@IgM_site4	IgM_site4	NA	3125.14427663	3	16.423-20.662	371134.83	NA
Outputfile_@IgM_site4	IgM_site4	NA	3131.17697663	1	16.423-20.662	32163.27	NA
Outputfile_@IgM_site4	IgM_site4	NA	3134.09897663	3	16.423-20.662	584687.5	NA
Outputfile_@IgM_site4	IgM_site4	NA	3137.11067663	1	16.423-20.662	31412.05	NA
Outputfile_@IgM_site4	IgM_site4	NA	3138.12817663	1	16.423-20.662	14686.01	NA
Outputfile_@IgM_site4	IgM_site4	NA	3141.11387663	3	16.423-20.662	117575.61	NA
Outputfile_@IgM_site4	IgM_site4	NA	3145.12897663	1	16.423-20.662	41545.74	NA
Outputfile_@IgM_site4	IgM_site4	NA	3146.14597663	1	16.423-20.662	45207.16	NA
Outputfile_@IgM_site4	IgM_site4	NA	3149.11787663	2	16.423-20.662	23217.87	NA
Outputfile_@IgM_site4	IgM_site4	NA	3150.14677663	1	16.423-20.662	10497.45	NA
Outputfile_@IgM_site4	IgM_site4	NA	3153.15347663	1	16.423-20.662	11385.67	NA
Outputfile_@IgM_site4	IgM_site4	NA	3157.07707663	3	16.423-20.662	84982.68	NA
Outputfile_@IgM_site4	IgM_site4	NA	3163.08517663	2	16.423-20.662	32554.52	NA
Outputfile_@IgM_site4	IgM_site4	NA	3168.15407663	1	16.423-20.662	8796.18	NA
Outputfile_@IgM_site4	IgM_site4	NA	3170.25547663	1	16.423-20.662	18484.3	NA
Outputfile_@IgM_site4	IgM_site4	NA	3172.04917663	2	16.423-20.662	38868.38	NA
Outputfile_@IgM_site4	IgM_site4	NA	3179.18007663	1	16.423-20.662	30527.99	NA
Outputfile_@IgM_site4	IgM_site4	NA	3183.08387663	1	16.423-20.662	3435.35	NA
Outputfile_@IgM_site4	IgM_site4	NA	3188.02867663	2	16.423-20.662	8468.19	NA
Outputfile_@IgM_site4	IgM_site4	NA	3201.15237663	2	16.423-20.662	25484.44	NA
Outputfile_@IgM_site4	IgM_site4	NA	3209.25817663	1	16.423-20.662	4940.77	NA
Outputfile_@IgM_site4	IgM_site4	NA	3217.11787663	2	16.423-20.662	24393.2	NA
Outputfile_@IgM_site4	IgM_site4	NA	3223.12167663	2	16.423-20.662	20769.94	NA
Outputfile_@IgM_site4	IgM_site4	NA	3232.08887663	1	16.423-20.662	16084.76	NA
Outputfile_@IgM_site4	IgM_site4	H10N2@Man9+1xHex	3243.24267663	2	16.423-20.662	2274813.45	7.8714016167137
Outputfile_@IgM_site4	IgM_site4	NA	3243.69217663	1	16.423-20.662	15027.75	NA
Outputfile_@IgM_site4	IgM_site4	NA	3258.23837663	1	16.423-20.662	3609.87	NA
Outputfile_@IgM_site4	IgM_site4	NA	3260.26517663	2	16.423-20.662	58906.56	NA
Outputfile_@IgM_site4	IgM_site4	NA	3265.22067663	3	16.423-20.662	249394.31	NA
Outputfile_@IgM_site4	IgM_site4	NA	3275.23537663	2	16.423-20.662	39361.85	NA
Outputfile_@IgM_site4	IgM_site4	NA	3281.18887663	3	16.423-20.662	220191.92	NA
Outputfile_@IgM_site4	IgM_site4	NA	3287.19997663	3	16.423-20.662	74806.59	NA
Outputfile_@IgM_site4	IgM_site4	NA	3296.15707663	2	16.423-20.662	111070.95	NA
Outputfile_@IgM_site4	IgM_site4	NA	3302.16827663	1	16.423-20.662	8540.93	NA
Outputfile_@IgM_site4	IgM_site4	NA	3303.16417663	1	16.423-20.662	5326.21	NA
Outputfile_@IgM_site4	IgM_site4	NA	3306.18367663	2	16.423-20.662	15457.71	NA
Outputfile_@IgM_site4	IgM_site4	NA	3312.29667663	1	16.423-20.662	7662.4	NA
Outputfile_@IgM_site4	IgM_site4	NA	3319.12997663	2	16.423-20.662	10293.78	NA
Outputfile_@IgM_site4	IgM_site4	NA	3334.09357663	1	16.423-20.662	3520.46	NA
Outputfile_@IgM_site4	IgM_site4	NA	3335.09887663	1	16.423-20.662	2931.68	NA
Outputfile_@IgM_site4	IgM_site4	H11N2@Man9+2xHex	3405.29357663	1	16.423-20.662	67070.93	0.2320815479777
Outputfile_@IgM_site4	IgM_site4	NA	3427.28507663	1	16.423-20.662	8319.95	NA
Outputfile_@IgM_site4	IgM_site4	NA	3443.25517663	1	16.423-20.662	7489.48	NA
Outputfile_@IgM_site4	IgM_site4	NA	3459.21697663	1	16.423-20.662	4204.11	NA
Outputfile_@IgM_site4	IgM_site4	H12N2@Man9+3xHex	3567.34647663	2	16.423-20.662	19790.61	0.0684802701292936
Outputfile_@IgM_site4	IgM_site4	NA	3852.51877663	2	16.423-20.662	52584.28	NA
Outputfile_@IgM_site4	IgM_site4	NA	4012.70047663	1	16.423-20.662	50845.03	NA
Outputfile_@IgM_site4	IgM_site4	NA	4053.70557663	1	16.423-20.662	6839.33	NA
Outputfile_@IgM_site4	IgM_site4	NA	4174.75147663	1	16.423-20.662	78455.48	NA
Outputfile_@IgM_site4	IgM_site4	NA	4275.97887663	1	16.423-20.662	2992.47	NA
Outputfile_@IgM_site4	IgM_site4	NA	4336.79637663	1	16.423-20.662	12289.06	NA
Outputfile_@IgM_site4	IgM_site4	NA	5674.19717663	1	16.423-20.662	4555.53	NA
Outputfile_@IgM_site4	IgM_site4	NA	5836.24657663	1	16.423-20.662	10710.67	NA
Outputfile_@IgM_site4	IgM_site4	NA	5875.21597663	1	16.423-20.662	4489.2	NA
Outputfile_@IgM_site4	IgM_site4	NA	5999.33077663	2	16.423-20.662	196049.19	NA
Outputfile_@IgM_site4	IgM_site4	NA	6021.30997663	1	16.423-20.662	9885.81	NA
Outputfile_@IgM_site4	IgM_site4	NA	6037.24487663	1	16.423-20.662	15319.05	NA
Outputfile_@IgM_site4	IgM_site4	NA	6043.27377663	1	16.423-20.662	3797.21	NA
Outputfile_@IgM_site4	IgM_site4	NA	6161.35367663	1	16.423-20.662	58843.68	NA
Outputfile_@IgM_site4	IgM_site4	NA	6183.32387663	1	16.423-20.662	6121.17	NA
Outputfile_@IgM_site4	IgM_site4	NA	6183.35387663	1	16.423-20.662	23311.06	NA
Outputfile_@IgM_site4	IgM_site4	NA	6198.35937663	1	16.423-20.662	26727.26	NA
Outputfile_@IgM_site4	IgM_site4	NA	6322.41957663	2	16.423-20.662	167224.91	NA
Outputfile_@IgM_site4	IgM_site4	NA	6345.39097663	1	16.423-20.662	9926.82	NA
Outputfile_@IgM_site4	IgM_site4	NA	6361.33287663	1	16.423-20.662	12260.71	NA
